,value,compartment,time,network,model,N,T
39,0.0278,infected,70.0,PLC_pre,SEIVR_Q,10000,150
40,0.0251,infected,80.0,PLC_pre,SEIVR_Q,10000,150
41,0.0173,infected,90.0,PLC_pre,SEIVR_Q,10000,150
42,0.0118,infected,100.0,PLC_pre,SEIVR_Q,10000,150
43,0.0057,infected,110.0,PLC_pre,SEIVR_Q,10000,150
44,0.005,infected,120.0,PLC_pre,SEIVR_Q,10000,150
45,0.0034,infected,130.0,PLC_pre,SEIVR_Q,10000,150
46,0.0017,infected,140.0,PLC_pre,SEIVR_Q,10000,150
47,0.0011,infected,150.0,PLC_pre,SEIVR_Q,10000,150
48,0.0,vaccinated,0.0,PLC_pre,SEIVR_Q,10000,150
49,0.0104,vaccinated,10.0,PLC_pre,SEIVR_Q,10000,150
50,0.0189,vaccinated,20.0,PLC_pre,SEIVR_Q,10000,150
51,0.03,vaccinated,30.0,PLC_pre,SEIVR_Q,10000,150
52,0.0401,vaccinated,40.0,PLC_pre,SEIVR_Q,10000,150
53,0.0487,vaccinated,50.0,PLC_pre,SEIVR_Q,10000,150
54,0.0594,vaccinated,60.0,PLC_pre,SEIVR_Q,10000,150
55,0.0652,vaccinated,70.0,PLC_pre,SEIVR_Q,10000,150
56,0.0729,vaccinated,80.0,PLC_pre,SEIVR_Q,10000,150
57,0.0798,vaccinated,90.0,PLC_pre,SEIVR_Q,10000,150
58,0.0861,vaccinated,100.0,PLC_pre,SEIVR_Q,10000,150
59,0.0924,vaccinated,110.0,PLC_pre,SEIVR_Q,10000,150
60,0.0995,vaccinated,120.0,PLC_pre,SEIVR_Q,10000,150
61,0.1072,vaccinated,130.0,PLC_pre,SEIVR_Q,10000,150
62,0.1138,vaccinated,140.0,PLC_pre,SEIVR_Q,10000,150
63,0.1212,vaccinated,150.0,PLC_pre,SEIVR_Q,10000,150
64,0.0,removed,0.0,PLC_pre,SEIVR_Q,10000,150
65,0.0058,removed,10.0,PLC_pre,SEIVR_Q,10000,150
66,0.0135,removed,20.0,PLC_pre,SEIVR_Q,10000,150
67,0.0227,removed,30.0,PLC_pre,SEIVR_Q,10000,150
68,0.0393,removed,40.0,PLC_pre,SEIVR_Q,10000,150
69,0.0595,removed,50.0,PLC_pre,SEIVR_Q,10000,150
70,0.0822,removed,60.0,PLC_pre,SEIVR_Q,10000,150
71,0.1104,removed,70.0,PLC_pre,SEIVR_Q,10000,150
72,0.1355,removed,80.0,PLC_pre,SEIVR_Q,10000,150
73,0.1572,removed,90.0,PLC_pre,SEIVR_Q,10000,150
74,0.172,removed,100.0,PLC_pre,SEIVR_Q,10000,150
75,0.1808,removed,110.0,PLC_pre,SEIVR_Q,10000,150
76,0.1859,removed,120.0,PLC_pre,SEIVR_Q,10000,150
77,0.1896,removed,130.0,PLC_pre,SEIVR_Q,10000,150
78,0.193,removed,140.0,PLC_pre,SEIVR_Q,10000,150
79,0.1938,removed,150.0,PLC_pre,SEIVR_Q,10000,150
0,0.9904038384646141,susceptible,0.0,DISTANCED_pre,SEIVR,10004,150
1,0.9632147141143542,susceptible,10.0,DISTANCED_pre,SEIVR,10004,150
2,0.9152339064374251,susceptible,20.0,DISTANCED_pre,SEIVR,10004,150
3,0.8365653738504598,susceptible,30.0,DISTANCED_pre,SEIVR,10004,150
4,0.7552978808476609,susceptible,40.0,DISTANCED_pre,SEIVR,10004,150
5,0.6843262694922031,susceptible,50.0,DISTANCED_pre,SEIVR,10004,150
6,0.6345461815273891,susceptible,60.0,DISTANCED_pre,SEIVR,10004,150
7,0.6053578568572571,susceptible,70.0,DISTANCED_pre,SEIVR,10004,150
8,0.5877648940423831,susceptible,80.0,DISTANCED_pre,SEIVR,10004,150
9,0.5742702918832467,susceptible,90.0,DISTANCED_pre,SEIVR,10004,150
10,0.5656737305077969,susceptible,100.0,DISTANCED_pre,SEIVR,10004,150
11,0.558876449420232,susceptible,110.0,DISTANCED_pre,SEIVR,10004,150
12,0.553078768492603,susceptible,120.0,DISTANCED_pre,SEIVR,10004,150
13,0.5465813674530188,susceptible,130.0,DISTANCED_pre,SEIVR,10004,150
14,0.5411835265893643,susceptible,140.0,DISTANCED_pre,SEIVR,10004,150
15,0.5357856857257097,susceptible,150.0,DISTANCED_pre,SEIVR,10004,150
16,0.009596161535385846,exposed,0.0,DISTANCED_pre,SEIVR,10004,150
17,0.009296281487405038,exposed,10.0,DISTANCED_pre,SEIVR,10004,150
18,0.019992003198720514,exposed,20.0,DISTANCED_pre,SEIVR,10004,150
19,0.03458616553378648,exposed,30.0,DISTANCED_pre,SEIVR,10004,150
20,0.035385845661735305,exposed,40.0,DISTANCED_pre,SEIVR,10004,150
21,0.03198720511795282,exposed,50.0,DISTANCED_pre,SEIVR,10004,150
22,0.021691323470611756,exposed,60.0,DISTANCED_pre,SEIVR,10004,150
23,0.013494602159136346,exposed,70.0,DISTANCED_pre,SEIVR,10004,150
24,0.006197520991603359,exposed,80.0,DISTANCED_pre,SEIVR,10004,150
25,0.0032986805277888847,exposed,90.0,DISTANCED_pre,SEIVR,10004,150
26,0.0005997600959616154,exposed,100.0,DISTANCED_pre,SEIVR,10004,150
27,0.0004998000799680128,exposed,110.0,DISTANCED_pre,SEIVR,10004,150
28,0.0002998800479808077,exposed,120.0,DISTANCED_pre,SEIVR,10004,150
29,9.996001599360256e-05,exposed,130.0,DISTANCED_pre,SEIVR,10004,150
30,0.0,exposed,140.0,DISTANCED_pre,SEIVR,10004,150
31,0.0,exposed,150.0,DISTANCED_pre,SEIVR,10004,150
32,0.0,infected,0.0,DISTANCED_pre,SEIVR,10004,150
33,0.011895241903238705,infected,10.0,DISTANCED_pre,SEIVR,10004,150
34,0.022491003598560575,infected,20.0,DISTANCED_pre,SEIVR,10004,150
35,0.04568172730907637,infected,30.0,DISTANCED_pre,SEIVR,10004,150
36,0.06497401039584166,infected,40.0,DISTANCED_pre,SEIVR,10004,150
37,0.06687325069972011,infected,50.0,DISTANCED_pre,SEIVR,10004,150
38,0.058376649340263896,infected,60.0,DISTANCED_pre,SEIVR,10004,150
39,0.04108356657337065,infected,70.0,DISTANCED_pre,SEIVR,10004,150
40,0.027489004398240705,infected,80.0,DISTANCED_pre,SEIVR,10004,150
41,0.01679328268692523,infected,90.0,DISTANCED_pre,SEIVR,10004,150
42,0.008296681327469012,infected,100.0,DISTANCED_pre,SEIVR,10004,150
43,0.003598560575769692,infected,110.0,DISTANCED_pre,SEIVR,10004,150
44,0.0011995201919232307,infected,120.0,DISTANCED_pre,SEIVR,10004,150
45,0.0006997201119552179,infected,130.0,DISTANCED_pre,SEIVR,10004,150
46,0.00039984006397441024,infected,140.0,DISTANCED_pre,SEIVR,10004,150
47,9.996001599360256e-05,infected,150.0,DISTANCED_pre,SEIVR,10004,150
48,0.0,vaccinated,0.0,DISTANCED_pre,SEIVR,10004,150
49,0.009596161535385846,vaccinated,10.0,DISTANCED_pre,SEIVR,10004,150
50,0.01869252299080368,vaccinated,20.0,DISTANCED_pre,SEIVR,10004,150
